event_id,storm,CountyFIPS,t90,t90_censored,max_gust,mean_gust_7d,total_precip_7d,pressure_min_7d,max_customers_tracked,county_pop,event_start,min_dist_to_storm_km,matched_ibtracs_storm,storm_max_wind_center_in_conus_mps,storm_max_wind_near_conus_mps,year,county_gdp_real_2017_dollars,county_gdp_real_2017_per_capita
2017242N16333_2017-09-10 14:00:00,2017242N16333,12111,117.27373737373722,0,37.70381251511965,9.96819419710294,81.53300602866567,987.67180043693,127029.0,358704,2017-09-10 14:00:00,137.6717664344883,2017242N16333,59.16106,59.16106,2017,9305423000.0,25941.787657790268
2017242N16333_2017-09-10 16:00:00,2017242N16333,12051,224.8814569536422,0,44.06321571915961,9.31983176902979,205.88198718309195,970.1731393861892,9743.0,41339,2017-09-10 16:00:00,59.82195270992618,2017242N16333,59.16106,59.16106,2017,1192855000.0,28855.439173661674
2017242N16333_2017-09-10 16:00:00,2017242N16333,12093,143.2979377839914,0,43.15726875418012,9.170118304016828,118.35535903131763,980.6558183127136,20093.0,40412,2017-09-10 16:00:00,100.87000443713563,2017242N16333,59.16106,59.16106,2017,1253574000.0,31019.84559041869
2017242N16333_2017-09-10 18:00:00,2017242N16333,12107,167.88218661639945,0,35.622321998268546,8.356245735016893,158.56333189626775,981.5370082438648,41113.0,74731,2017-09-10 18:00:00,92.66012706522667,2017242N16333,59.16106,59.16106,2017,2125357000.0,28440.09848657184
2017242N16333_2017-09-10 18:00:00,2017242N16333,12129,97.50331075996972,0,31.210941680908203,10.147348884320442,107.18215435122453,991.8288584375,15461.0,35178,2017-09-10 18:00:00,118.23919031375114,2017242N16333,59.16106,59.16106,2017,705267000.0,20048.52464608562
2017242N16333_2017-09-10 19:00:00,2017242N16333,12041,148.8402411714261,0,32.68536102737205,7.910275415291532,174.3184216617458,980.031367527174,7923.0,18992,2017-09-10 19:00:00,17.199964700173062,2017242N16333,59.16106,59.16106,2017,330710000.0,17413.121314237575
2017242N16333_2017-09-10 21:00:00,2017242N16333,12049,172.15532994923834,0,42.6029511779785,8.305069200760977,195.72771546840667,971.01893225,9248.0,25645,2017-09-10 21:00:00,9.625366754532005,2017242N16333,59.16106,59.16106,2017,1037682000.0,40463.32618444141
2017242N16333_2017-09-10 22:00:00,2017242N16333,12029,161.40008534699888,0,32.14372665221432,8.300142144972199,138.7223802765001,981.744273814006,8742.0,17124,2017-09-10 22:00:00,44.18759705419018,2017242N16333,59.16106,59.16106,2017,280617000.0,16387.351086194813
2017242N16333_2017-09-10 22:00:00,2017242N16333,12055,216.54451691805943,0,44.645656787773056,8.699503809994438,172.2967806856449,973.4384547078296,55157.0,105618,2017-09-10 22:00:00,57.66361062085274,2017242N16333,59.16106,59.16106,2017,2482118000.0,23500.89946789373
2017242N16333_2017-09-10 23:00:00,2017242N16333,12105,162.45878594249194,0,42.59030972886636,8.350609184174264,170.2714692691411,974.7197781544812,329764.0,787404,2017-09-10 23:00:00,55.85645287239121,2017242N16333,59.16106,59.16106,2017,25742485000.0,32692.855256005812
2017242N16333_2017-09-11 00:00:00,2017242N16333,12015,143.67597765363112,0,40.51598401081837,8.577106524930775,167.9262937424118,970.2506089154408,114552.0,202661,2017-09-11 00:00:00,24.233980588538905,2017242N16333,59.16106,59.16106,2017,5181236000.0,25566.024050014556
2017242N16333_2017-09-11 00:00:00,2017242N16333,12035,149.8971880492089,0,38.3003936577522,8.937893636548665,127.8353928028211,983.7977379893237,58370.0,126705,2017-09-11 00:00:00,124.36310596984563,2017242N16333,59.16106,59.16106,2017,2695378000.0,21272.862160135748
2017242N16333_2017-09-11 00:00:00,2017242N16333,12071,216.4818116462975,0,39.95001785627758,8.662563909163712,154.57914812147516,967.6371055317004,260826.0,822453,2017-09-11 00:00:00,27.87687407091573,2017242N16333,59.16106,59.16106,2017,31283529000.0,38036.85924909995
2017242N16333_2017-09-11 00:00:00,2017242N16333,12085,95.52749110320278,0,37.03185366634624,9.850267564114263,74.38884041130352,986.8561755423184,94195.0,162006,2017-09-11 00:00:00,129.66106815997716,2017242N16333,59.16106,59.16106,2017,7438578000.0,45915.4475760157
