event_start,CountyFIPS,county_pop,pre_outage_tracked_customers,days_since_data_start,duration_hours,n_periods,integral,pop_hours_supply_lost,storm,duration_days,year,month,event_id
2017-09-10 11:00:00,12125,15460,5345.0,252.416666666667,133,133,54.993459561233,850198.884816662,2017242N16333,5.54166666666667,2017,9,12125_2017-09-10 11:00:00
2017-09-10 12:00:00,13305,30896,6807.0,252.458333333333,85,85,28.5438055348416,881889.415804467,2017242N16333,3.54166666666667,2017,9,13305_2017-09-10 12:00:00
2017-09-10 14:00:00,13273,8754,3418.0,252.541666666667,83,83,16.4010762905038,143575.02184707,2017242N16333,3.45833333333333,2017,9,13273_2017-09-10 14:00:00
2017-09-10 14:00:00,12111,358704,127029.0,252.541666666667,131,131,39.8613853891109,14298438.3846156,2017242N16333,5.45833333333333,2017,9,12111_2017-09-10 14:00:00
2017-09-10 14:00:00,12099,1518477,742679.0,252.541666666667,147,147,48.3090383845822,73356163.6791051,2017242N16333,6.125,2017,9,12099_2017-09-10 14:00:00
2017-09-10 14:00:00,12021,397994,212167.0,252.541666666667,263,263,118.692897564778,47239061.0733962,2017242N16333,10.9583333333333,2017,9,12021_2017-09-10 14:00:00
2017-09-10 16:00:00,12133,25414,6511.0,252.625,30,30,1.83348350978775,46596.1499177459,2017242N16333,1.25,2017,9,12133_2017-09-10 16:00:00
2017-09-10 16:00:00,13231,19990,4756.0,252.625,95,95,21.8057808994904,435897.560180814,2017242N16333,3.95833333333333,2017,9,13231_2017-09-10 16:00:00
2017-09-10 16:00:00,13227,34826,4417.2,252.625,102,102,28.0350371294082,976348.203068769,2017242N16333,4.25,2017,9,13227_2017-09-10 16:00:00
2017-09-10 16:00:00,13253,9127,1750.0,252.625,32,32,1.04457142857143,9533.80342857143,2017242N16333,1.33333333333333,2017,9,13253_2017-09-10 16:00:00
2017-09-10 16:00:00,12093,40412,20093.0,252.625,175,175,79.3521562543671,3206779.33855148,2017242N16333,7.29166666666667,2017,9,12093_2017-09-10 16:00:00
2017-09-10 16:00:00,12051,41339,9738.0,252.625,300,300,135.441962739839,5599035.2977022,2017242N16333,12.5,2017,9,12051_2017-09-10 16:00:00
