event_id,CountyFIPS,storm,event_start,event_end,duration_hours,max_outage,hours_above_thresh,n_ts_points,reason
51077_2018-09-17 02:00:00,51077,2018242N13343,2018-09-17 02:00:00,2018-09-18 03:00:00,25.0,0.10510135459698337,0,49,invalid_event
54017_2018-09-17 14:00:00,54017,2018242N13343,2018-09-17 14:00:00,2018-09-18 18:00:00,28.0,0.18256805059114656,3,52,invalid_event
36039_2018-09-19 23:00:00,36039,2018242N13343,2018-09-19 23:00:00,2018-09-22 00:00:00,49.0,0.061673188000745296,0,73,invalid_event
28061_2018-09-04 03:00:00,28061,2018246N22283,2018-09-04 03:00:00,2018-09-05 15:00:00,36.0,0.11625603565680327,0,60,invalid_event
28129_2018-09-04 04:00:00,28129,2018246N22283,2018-09-04 04:00:00,2018-09-05 15:00:00,35.0,0.08742542450665443,0,59,invalid_event
28025_2018-09-07 17:00:00,28025,2018246N22283,2018-09-07 17:00:00,2018-09-08 20:00:00,27.0,0.3024390243902439,1,51,invalid_event
12049_2018-09-09 01:00:00,12049,2018246N22283,2018-09-09 01:00:00,2018-09-10 03:00:00,26.0,0.09226447709593777,0,50,invalid_event
45027_2018-10-09 23:00:00,45027,2018280N18273,2018-10-09 23:00:00,2018-10-11 20:00:00,45.0,0.3393889347646573,4,69,invalid_event
37049_2018-10-10 05:00:00,37049,2018280N18273,2018-10-10 05:00:00,2018-10-12 15:00:00,58.0,0.15199943177782513,1,82,invalid_event
45085_2018-10-11 13:00:00,45085,2018280N18273,2018-10-11 13:00:00,2018-10-12 14:00:00,25.0,0.2770610278372591,4,49,invalid_event
37109_2018-10-11 19:00:00,37109,2018280N18273,2018-10-11 19:00:00,2018-10-12 21:00:00,26.0,0.17801956131720587,4,50,invalid_event
51019_2018-10-11 20:00:00,51019,2018280N18273,2018-10-11 20:00:00,2018-10-12 22:00:00,26.0,0.1479221074145566,0,50,invalid_event
37119_2018-10-11 20:00:00,37119,2018280N18273,2018-10-11 20:00:00,2018-10-12 23:00:00,27.0,0.10950288320818738,0,51,invalid_event
51035_2018-10-11 20:00:00,51035,2018280N18273,2018-10-11 20:00:00,2018-10-12 20:00:00,24.0,0.15268419908715497,2,48,invalid_event
51067_2018-10-11 21:00:00,51067,2018280N18273,2018-10-11 21:00:00,2018-10-13 15:00:00,42.0,0.0882197405667714,0,66,invalid_event
51031_2018-10-11 22:00:00,51031,2018280N18273,2018-10-11 22:00:00,2018-10-12 23:00:00,25.0,0.1689947573976989,3,49,invalid_event
48183_2019-07-10 00:00:00,48183,2019192N29274,2019-07-10 00:00:00,2019-07-11 09:00:00,33.0,0.1156668875184751,0,57,invalid_event
40089_2019-07-10 14:00:00,40089,2019192N29274,2019-07-10 14:00:00,2019-07-11 15:00:00,25.0,0.12233676975945017,0,49,invalid_event
05133_2019-07-11 01:00:00,05133,2019192N29274,2019-07-11 01:00:00,2019-07-12 23:00:00,46.0,0.11920768307322929,0,70,invalid_event
22085_2019-07-12 17:00:00,22085,2019192N29274,2019-07-12 17:00:00,2019-07-14 00:00:00,31.0,0.14934281115879827,0,55,invalid_event
22093_2019-07-13 04:00:00,22093,2019192N29274,2019-07-13 04:00:00,2019-07-15 19:00:00,63.0,0.09945476575121164,0,87,invalid_event
22001_2019-07-13 05:00:00,22001,2019192N29274,2019-07-13 05:00:00,2019-07-14 16:00:00,35.0,0.09215657420351703,0,59,invalid_event
22037_2019-07-13 14:00:00,22037,2019192N29274,2019-07-13 14:00:00,2019-07-14 16:00:00,26.0,0.12809026049444167,0,50,invalid_event
22043_2019-07-13 19:00:00,22043,2019192N29274,2019-07-13 19:00:00,2019-07-15 00:00:00,29.0,0.1943701166648828,1,53,invalid_event
22097_2019-07-13 22:00:00,22097,2019192N29274,2019-07-13 22:00:00,2019-07-14 22:00:00,24.0,0.1504072277359918,1,48,invalid_event
29055_2019-07-14 11:00:00,29055,2019192N29274,2019-07-14 11:00:00,2019-07-15 21:00:00,34.0,0.36964586846543,2,58,invalid_event
22011_2019-07-14 11:00:00,22011,2019192N29274,2019-07-14 11:00:00,2019-07-16 00:00:00,37.0,0.0655441400304414,0,61,invalid_event
13191_2019-09-03 21:00:00,13191,2019236N10314,2019-09-03 21:00:00,2019-09-05 02:00:00,29.0,0.10551353988777751,0,53,invalid_event
37065_2019-09-06 07:00:00,37065,2019236N10314,2019-09-06 07:00:00,2019-09-07 19:00:00,36.0,0.19989126495106924,3,60,invalid_event
48291_2019-09-18 16:00:00,48291,2019261N28264,2019-09-18 16:00:00,2019-09-20 14:00:00,46.0,0.16234873710712255,1,70,invalid_event
48167_2019-09-19 09:00:00,48167,2019261N28264,2019-09-19 09:00:00,2019-09-21 05:00:00,44.0,0.08116997158093049,0,68,invalid_event
48361_2019-09-19 13:00:00,48361,2019261N28264,2019-09-19 13:00:00,2019-09-20 17:00:00,28.0,0.10341886590150352,0,52,invalid_event
48071_2019-09-19 18:00:00,48071,2019261N28264,2019-09-19 18:00:00,2019-09-21 13:00:00,43.0,0.14399104507988195,0,67,invalid_event
22089_2019-10-25 15:00:00,22089,2019299N25265,2019-10-25 15:00:00,2019-10-26 23:00:00,32.0,0.20475192173305382,3,56,invalid_event
22087_2019-10-25 21:00:00,22087,2019299N25265,2019-10-25 21:00:00,2019-10-27 03:00:00,30.0,0.08337890916322777,0,54,invalid_event
22051_2019-10-26 11:00:00,22051,2019299N25265,2019-10-26 11:00:00,2019-10-27 18:00:00,31.0,0.12913525666458842,0,55,invalid_event
18153_2019-10-27 03:00:00,18153,2019299N25265,2019-10-27 03:00:00,2019-10-28 12:00:00,33.0,0.07774140752864157,0,57,invalid_event
22037_2019-10-29 20:00:00,22037,2019299N25265,2019-10-29 20:00:00,2019-10-31 22:00:00,50.0,0.06357615894039735,0,74,invalid_event
39081_2020-05-25 21:00:00,39081,2020148N32281,2020-05-25 21:00:00,2020-05-26 23:00:00,26.0,0.07704218768259904,0,50,invalid_event
54043_2020-05-28 07:00:00,54043,2020148N32281,2020-05-28 07:00:00,2020-05-29 17:00:00,34.0,0.0928307204509424,0,58,invalid_event
42007_2020-05-28 14:00:00,42007,2020148N32281,2020-05-28 14:00:00,2020-05-30 01:00:00,35.0,0.14044090479904758,0,59,invalid_event
54087_2020-05-28 15:00:00,54087,2020148N32281,2020-05-28 15:00:00,2020-05-30 16:00:00,49.0,0.08114086146682188,0,73,invalid_event
28143_2020-06-05 20:00:00,28143,2020154N19269,2020-06-05 20:00:00,2020-06-08 15:00:00,67.0,0.10165609584214236,0,91,invalid_event
28027_2020-06-05 22:00:00,28027,2020154N19269,2020-06-05 22:00:00,2020-06-08 05:00:00,55.0,0.16425868593051254,2,79,invalid_event
28127_2020-06-06 02:00:00,28127,2020154N19269,2020-06-06 02:00:00,2020-06-09 00:00:00,70.0,0.24954945404431253,2,94,invalid_event
05059_2020-06-06 06:00:00,05059,2020154N19269,2020-06-06 06:00:00,2020-06-08 07:00:00,49.0,0.13874298134395943,0,73,invalid_event
28157_2020-06-08 15:00:00,28157,2020154N19269,2020-06-08 15:00:00,2020-06-10 16:00:00,49.0,0.09944935758384782,0,73,invalid_event
05099_2020-06-09 01:00:00,05099,2020154N19269,2020-06-09 01:00:00,2020-06-10 16:00:00,39.0,0.1441692179237406,0,63,invalid_event
28063_2020-06-09 04:00:00,28063,2020154N19269,2020-06-09 04:00:00,2020-06-11 01:00:00,45.0,0.0970317297850563,0,69,invalid_event
22087_2020-06-10 15:00:00,22087,2020154N19269,2020-06-10 15:00:00,2020-06-12 01:00:00,34.0,0.09953612317410186,0,58,invalid_event
55119_2020-06-11 23:00:00,55119,2020154N19269,2020-06-11 23:00:00,2020-06-13 12:00:00,37.0,0.16483346243222308,2,61,invalid_event
36079_2020-07-08 19:00:00,36079,2020188N28271,2020-07-08 19:00:00,2020-07-10 00:00:00,29.0,0.1405241429646694,0,53,invalid_event
45047_2020-07-09 11:00:00,45047,2020188N28271,2020-07-09 11:00:00,2020-07-10 20:00:00,33.0,0.07307198193638806,0,57,invalid_event
01087_2020-07-12 23:00:00,01087,2020188N28271,2020-07-12 23:00:00,2020-07-16 01:00:00,74.0,0.13380281690140844,0,98,invalid_event
13315_2020-07-13 13:00:00,13315,2020188N28271,2020-07-13 13:00:00,2020-07-16 04:00:00,63.0,0.26522187822497423,3,87,invalid_event
48311_2020-07-26 10:00:00,48311,2020205N26272,2020-07-26 10:00:00,2020-07-27 19:00:00,33.0,0.24954792043399637,1,57,invalid_event
48057_2020-07-28 22:00:00,48057,2020205N26272,2020-07-28 22:00:00,2020-07-30 01:00:00,27.0,0.8138747884940778,4,51,invalid_event
48273_2020-07-29 19:00:00,48273,2020205N26272,2020-07-29 19:00:00,2020-07-31 12:00:00,41.0,0.12685026832576518,0,65,invalid_event
51145_2020-07-31 23:00:00,51145,2020211N13306,2020-07-31 23:00:00,2020-08-04 15:00:00,88.0,0.20929126367528145,1,112,invalid_event
33007_2020-08-03 00:00:00,33007,2020211N13306,2020-08-03 00:00:00,2020-08-05 08:00:00,56.0,0.09242779078844653,0,80,invalid_event
37055_2020-08-03 01:00:00,37055,2020211N13306,2020-08-03 01:00:00,2020-08-04 17:00:00,40.0,0.21166670679153526,3,64,invalid_event
51181_2020-08-04 00:00:00,51181,2020211N13306,2020-08-04 00:00:00,2020-08-06 18:00:00,66.0,0.4741506646971935,4,90,invalid_event
51183_2020-08-04 12:00:00,51183,2020211N13306,2020-08-04 12:00:00,2020-08-05 21:00:00,33.0,0.2570550433081866,3,57,invalid_event
51097_2020-08-04 14:00:00,51097,2020211N13306,2020-08-04 14:00:00,2020-08-05 19:00:00,29.0,0.24875385710894848,3,53,invalid_event
24011_2020-08-04 16:00:00,24011,2020211N13306,2020-08-04 16:00:00,2020-08-05 16:00:00,24.0,0.252442996742671,4,48,invalid_event
24029_2020-08-04 17:00:00,24029,2020211N13306,2020-08-04 17:00:00,2020-08-06 14:00:00,45.0,0.15836842539839815,1,69,invalid_event
42011_2020-08-04 18:00:00,42011,2020211N13306,2020-08-04 18:00:00,2020-08-05 22:00:00,28.0,0.14278977098104048,0,52,invalid_event
36111_2020-08-04 20:00:00,36111,2020211N13306,2020-08-04 20:00:00,2020-08-06 03:00:00,31.0,0.14790735473384803,0,55,invalid_event
34017_2020-08-04 20:00:00,34017,2020211N13306,2020-08-04 20:00:00,2020-08-05 20:00:00,24.0,0.09881236545755415,0,48,invalid_event
23007_2020-08-05 03:00:00,23007,2020211N13306,2020-08-05 03:00:00,2020-08-06 23:00:00,44.0,0.13098086124401914,0,68,invalid_event
18129_2020-08-25 08:00:00,18129,2020233N14313,2020-08-25 08:00:00,2020-08-26 15:00:00,31.0,0.11660664265706283,0,55,invalid_event
22047_2020-08-26 00:00:00,22047,2020233N14313,2020-08-26 00:00:00,2020-08-27 23:00:00,47.0,0.12582200789127576,0,71,invalid_event
05095_2020-08-27 03:00:00,05095,2020233N14313,2020-08-27 03:00:00,2020-08-29 00:00:00,45.0,0.1346153846153846,0,69,invalid_event
28137_2020-08-27 06:00:00,28137,2020233N14313,2020-08-27 06:00:00,2020-08-28 07:00:00,25.0,0.10923364485981309,0,49,invalid_event
21223_2020-08-27 08:00:00,21223,2020233N14313,2020-08-27 08:00:00,2020-08-28 23:00:00,39.0,0.7535321821036107,4,63,invalid_event
22065_2020-08-27 18:00:00,22065,2020233N14313,2020-08-27 18:00:00,2020-08-31 01:00:00,79.0,0.13111447302067575,0,103,invalid_event
22123_2020-08-27 19:00:00,22123,2020233N14313,2020-08-27 19:00:00,2020-08-29 01:00:00,30.0,0.2657640232108317,2,54,invalid_event
05043_2020-08-27 20:00:00,05043,2020233N14313,2020-08-27 20:00:00,2020-08-29 15:00:00,43.0,0.16978627372892605,2,67,invalid_event
05133_2020-08-28 10:00:00,05133,2020233N14313,2020-08-28 10:00:00,2020-08-30 11:00:00,49.0,0.1008652364584568,0,73,invalid_event
48455_2020-08-29 01:00:00,48455,2020233N14313,2020-08-29 01:00:00,2020-08-31 05:00:00,52.0,0.15483931768919046,1,76,invalid_event
29229_2020-08-29 19:00:00,29229,2020233N14313,2020-08-29 19:00:00,2020-08-31 21:00:00,50.0,0.3444385686585581,2,74,invalid_event
29215_2020-08-29 20:00:00,29215,2020233N14313,2020-08-29 20:00:00,2020-08-31 22:00:00,50.0,0.13069236890971792,0,74,invalid_event
48315_2020-08-30 10:00:00,48315,2020233N14313,2020-08-30 10:00:00,2020-09-02 02:00:00,64.0,0.23264659270998414,4,88,invalid_event
