event_id,storm,CountyFIPS,county,event_start,duration_hours,county_pop,pre_outage_tracked_customers,days_since_data_start,n_periods,integral,pop_hours_supply_lost,duration_days,year,month,max_gust,mean_gust_7d,total_precip_7d,pressure_min_7d,weather_hours_available,weather_hours_used,t90_lastcross,censored_lastcross,crossing_time_lastcross,t50,t50_censored,peak_outage_clean,threshold_used_t90,threshold_used_t50,crossing_time_t50,t90,t90_censored
12129_2017-09-10 18:00:00,2017242N16333,12129,Wakulla,2017-09-10 18:00:00,107,35178,15461.0,252.708333333333,107,23.0348909932965,810321.395362186,4.45833333333333,2017,9,31.210941680908203,10.147348884320442,107.18215435122453,991.8288584375,131,131,97.50331075996972,0,2017-09-14 19:30:11.918735891,52.00495049504944,0,0.5133561865338594,0.1,0.2566780932669297,2017-09-12 22:00:17.821782178,97.50331075996972,0
12107_2017-09-10 18:00:00,2017242N16333,12107,Putnam,2017-09-10 18:00:00,207,74731,20133.0,252.708333333333,207,79.228861602759,5920852.05643578,8.625,2017,9,35.622321998268546,8.356245735016893,158.56333189626775,981.5370082438648,231,168,167.88218661639945,0,2017-09-17 17:52:55.871819038,114.43357142857138,0,0.891275265731034,0.1,0.445637632865517,2017-09-15 12:26:00.857142857,167.88218661639945,0
12041_2017-09-10 19:00:00,2017242N16333,12041,Gilchrist,2017-09-10 19:00:00,173,18992,4797.0,252.75,173,64.3622175053202,1222367.23486104,7.20833333333333,2017,9,32.68536102737205,7.910275415291532,174.3184216617458,980.031367527174,197,168,148.8402411714261,0,2017-09-16 23:50:24.868217134,72.04972856913139,0,0.9613122467651287,0.1,0.48065612338256436,2017-09-13 19:02:59.022848873,148.8402411714261,0
12049_2017-09-10 21:00:00,2017242N16333,12049,Hardee,2017-09-10 21:00:00,175,25645,2812.0,252.833333333333,175,87.4002236755517,2241378.73615952,7.29166666666667,2017,9,42.6029511779785,8.305069200760977,195.72771546840667,971.01893225,199,168,172.15532994923834,0,2017-09-18 01:09:19.187817258,109.70631617639167,0,0.9538795442213782,0.1,0.4769397721106891,2017-09-15 10:42:22.738235010,172.15532994923834,0
12055_2017-09-10 22:00:00,2017242N16333,12055,Highlands,2017-09-10 22:00:00,219,105618,54806.0,252.875,219,142.440173938316,15044246.291017,9.125,2017,9,44.645656787773056,8.699503809994438,172.2967806856449,973.4384547078296,243,168,216.54451691805946,0,2017-09-19 22:32:40.260905014,163.31765085884612,0,0.9523515973456141,0.1,0.47617579867280707,2017-09-17 17:19:03.543091846,216.54451691805946,0
12029_2017-09-10 22:00:00,2017242N16333,12029,Dixie,2017-09-10 22:00:00,167,17124,1806.0,252.875,167,73.5574367956428,1259597.54768859,6.95833333333333,2017,9,32.14372665221432,8.300142144972199,138.7223802765001,981.744273814006,191,168,161.40008534699888,0,2017-09-17 15:24:00.307249196,77.12925170068,0,0.9537863189201555,0.1,0.47689315946007776,2017-09-14 03:07:45.306122448,161.40008534699888,0
12105_2017-09-10 23:00:00,2017242N16333,12105,Polk,2017-09-10 23:00:00,192,787404,106169.0,252.916666666667,192,43.4272046678154,34194754.6642565,8.0,2017,9,42.59030972886636,8.350609184174264,170.2714692691411,974.7197781544812,216,168,162.45878594249194,0,2017-09-17 17:27:31.629392971,117.11590495242778,0,0.4262937819280948,0.1,0.2131468909640474,2017-09-15 20:06:57.257828740,162.45878594249194,0
12035_2017-09-11 00:00:00,2017242N16333,12035,Flagler,2017-09-11 00:00:00,190,126705,58355.0,252.958333333333,190,67.5772757488715,8562378.72376077,7.91666666666667,2017,9,38.3003936577522,8.937893636548665,127.8353928028211,983.7977379893237,214,168,149.8971880492089,0,2017-09-17 05:53:49.876977152,69.57597442143722,0,0.8756618743252738,0.1,0.4378309371626369,2017-09-13 21:34:33.507917174,149.8971880492089,0
12015_2017-09-11 00:00:00,2017242N16333,12015,Charlotte,2017-09-11 00:00:00,188,202661,114552.0,252.958333333333,188,47.885063010151,9704434.75470022,7.83333333333333,2017,9,40.51598401081837,8.577106524930775,167.92629374241181,970.2506089154408,212,168,143.67597765363112,0,2017-09-16 23:40:33.519553072,70.98004314994583,0,0.6174226552133529,0.1,0.30871132760667647,2017-09-13 22:58:48.155339805,143.67597765363112,0
12103_2017-09-11 00:00:00,2017242N16333,12103,Pinellas,2017-09-11 00:00:00,168,961739,541750.0,252.958333333333,168,68.8142949131587,66181391.1754863,7.0,2017,9,43.06226785026151,9.404027970930587,151.04290168704134,975.1239532830944,192,168,160.12296022437528,0,2017-09-17 16:07:22.656807751,114.37545608143111,0,0.7677729214282694,0.1,0.3838864607141347,2017-09-15 18:22:31.641893152,160.12296022437528,0
