event_id,CountyFIPS,storm,event_start,event_end,duration_hours,year,month,county_pop,pre_outage_tracked_customers,days_since_data_start,n_periods,integral,pop_hours_supply_lost,max_outage_raw,hours_above_thresh_raw,is_valid,peak_outage_clean,threshold_used_t90,t90_lastcross,censored_lastcross,crossing_time_lastcross,duration_days
12011_2017-09-10 06:00:00,12011,2017242N16333,2017-09-10 06:00:00,2017-09-17 16:00:00,178.0,2017,9,1947026,939274.0,252.208333333333,178,50.9309517657027,99163887.2925691,0.7578470180160422,116,True,0.7419475041361733,0.1,153.04680648042861,0,2017-09-16 15:02:48.503329543,7.41666666666667
12086_2017-09-10 06:00:00,12086,2017242N16333,2017-09-10 06:00:00,2017-09-19 00:00:00,210.0,2017,9,2673837,1124137.0,252.208333333333,210,62.6986500102262,167645970.247393,0.8194535007743718,137,True,0.8081141355546522,0.1,181.80815224063832,0,2017-09-17 19:48:29.348066298,8.75
12125_2017-09-10 11:00:00,12125,2017242N16333,2017-09-10 11:00:00,2017-09-16 00:00:00,133.0,2017,9,15460,5345.0,252.416666666667,133,54.993459561233,850198.884816662,0.8806361085126286,103,True,0.8782039289055191,0.1,128.33181818181805,0,2017-09-15 19:19:54.545454545,5.54166666666667
13305_2017-09-10 12:00:00,13305,2017242N16333,2017-09-10 12:00:00,2017-09-14 01:00:00,85.0,2017,9,30896,6807.0,252.458333333333,85,28.5438055348416,881889.415804467,1.0,53,True,1.0,0.1,77.44797297297278,0,2017-09-13 17:26:52.702702702,3.54166666666667
13273_2017-09-10 14:00:00,13273,2017242N16333,2017-09-10 14:00:00,2017-09-14 01:00:00,83.0,2017,9,8754,3418.0,252.541666666667,83,16.4010762905038,143575.02184707,1.0,38,True,0.4497695852534562,0.1,80.36560550761055,0,2017-09-13 22:21:56.179827398,3.45833333333333
12111_2017-09-10 14:00:00,12111,2017242N16333,2017-09-10 14:00:00,2017-09-16 01:00:00,131.0,2017,9,358704,127029.0,252.541666666667,131,39.8613853891109,14298438.3846156,0.7494115516929205,92,True,0.7487975186768375,0.1,117.27373737373722,0,2017-09-15 11:16:25.454545454,5.45833333333333
12099_2017-09-10 14:00:00,12099,2017242N16333,2017-09-10 14:00:00,2017-09-16 17:00:00,147.0,2017,9,1518477,742679.0,252.541666666667,147,48.3090383845822,73356163.6791051,0.7700635133079029,97,True,0.75025953339195,0.1,127.02598707824833,0,2017-09-15 21:01:33.553481694,6.125
12021_2017-09-10 14:00:00,12021,2017242N16333,2017-09-10 14:00:00,2017-09-21 13:00:00,263.0,2017,9,397994,212167.0,252.541666666667,263,118.692897564778,47239061.0733962,0.9286081247319329,220,True,0.9265672795486575,0.1,247.5624464355278,0,2017-09-20 21:33:44.807167900,10.9583333333333
13231_2017-09-10 16:00:00,13231,2017242N16333,2017-09-10 16:00:00,2017-09-14 15:00:00,95.0,2017,9,19990,4756.0,252.625,95,21.8057808994904,435897.560180814,0.7294602211142424,46,True,0.6446304440346149,0.1,92.23458579339167,0,2017-09-14 12:14:04.508856210,3.95833333333333
13227_2017-09-10 16:00:00,13227,2017242N16333,2017-09-10 16:00:00,2017-09-14 22:00:00,102.0,2017,9,34826,4417.2,252.625,102,28.0350371294082,976348.203068769,0.9036673817550311,51,True,0.8170208418471598,0.1,91.84131049131305,0,2017-09-14 11:50:28.717768727,4.25
12093_2017-09-10 16:00:00,12093,2017242N16333,2017-09-10 16:00:00,2017-09-17 23:00:00,175.0,2017,9,40412,20093.0,252.625,175,79.3521562543671,3206779.33855148,0.9936793908326282,133,True,0.99328124222366,0.1,143.2979377839914,0,2017-09-16 15:17:52.576022369,7.29166666666667
12051_2017-09-10 16:00:00,12051,2017242N16333,2017-09-10 16:00:00,2017-09-23 04:00:00,300.0,2017,9,41339,9738.0,252.625,300,135.441962739839,5599035.2977022,1.0,217,True,1.0,0.1,224.8814569536422,0,2017-09-20 00:52:53.245033112,12.5
13199_2017-09-10 16:00:00,13199,2017242N16333,2017-09-10 16:00:00,2017-09-14 15:00:00,95.0,2017,9,20845,1333.0,252.625,95,22.0495713210697,459623.314187697,0.943207981580967,38,True,0.8645733205169284,0.1,68.45440425983472,0,2017-09-13 12:27:15.855335405,3.95833333333333
13061_2017-09-10 17:00:00,13061,2017242N16333,2017-09-10 17:00:00,2017-09-13 21:00:00,76.0,2017,9,2845,1564.0,252.666666666667,76,22.095019901636,62860.3316201544,1.0,35,True,1.0,0.1,57.64652777777778,0,2017-09-13 02:38:47.500000000,3.16666666666667
13171_2017-09-10 17:00:00,13171,2017242N16333,2017-09-10 17:00:00,2017-09-16 11:00:00,138.0,2017,9,19467,2542.0,252.666666666667,138,38.8380165630381,756059.668432663,0.9659574468085106,73,True,0.8683229813664596,0.1,136.2269372693725,0,2017-09-16 09:13:36.974169741,5.75
12129_2017-09-10 18:00:00,12129,2017242N16333,2017-09-10 18:00:00,2017-09-15 05:00:00,107.0,2017,9,35178,15461.0,252.708333333333,107,23.0348909932965,810321.395362186,0.5804281741155165,67,True,0.5133561865338594,0.1,97.50331075996972,0,2017-09-14 19:30:11.918735891,4.45833333333333
12107_2017-09-10 18:00:00,12107,2017242N16333,2017-09-10 18:00:00,2017-09-19 09:00:00,207.0,2017,9,74731,20133.0,252.708333333333,207,79.228861602759,5920852.05643578,0.8934643543404762,146,True,0.891275265731034,0.1,167.88218661639945,0,2017-09-17 17:52:55.871819038,8.625
12041_2017-09-10 19:00:00,12041,2017242N16333,2017-09-10 19:00:00,2017-09-18 00:00:00,173.0,2017,9,18992,4797.0,252.75,173,64.3622175053202,1222367.23486104,1.0,127,True,0.9613122467651287,0.1,148.8402411714261,0,2017-09-16 23:50:24.868217134,7.20833333333333
12049_2017-09-10 21:00:00,12049,2017242N16333,2017-09-10 21:00:00,2017-09-18 04:00:00,175.0,2017,9,25645,2812.0,252.833333333333,175,87.4002236755517,2241378.73615952,1.0,156,True,0.9538795442213782,0.1,172.15532994923834,0,2017-09-18 01:09:19.187817258,7.29166666666667
12055_2017-09-10 22:00:00,12055,2017242N16333,2017-09-10 22:00:00,2017-09-20 01:00:00,219.0,2017,9,105618,54806.0,252.875,219,142.440173938316,15044246.291017,1.0,203,True,0.9523515973456141,0.1,216.54451691805946,0,2017-09-19 22:32:40.260905014,9.125
12029_2017-09-10 22:00:00,12029,2017242N16333,2017-09-10 22:00:00,2017-09-17 21:00:00,167.0,2017,9,17124,1806.0,252.875,167,73.5574367956428,1259597.54768859,1.0,144,True,0.9537863189201555,0.1,161.40008534699888,0,2017-09-17 15:24:00.307249196,6.95833333333333
12105_2017-09-10 23:00:00,12105,2017242N16333,2017-09-10 23:00:00,2017-09-18 23:00:00,192.0,2017,9,787404,106169.0,252.916666666667,192,43.4272046678154,34194754.6642565,0.8392825430651749,118,True,0.4262937819280948,0.1,162.45878594249194,0,2017-09-17 17:27:31.629392971,8.0
12035_2017-09-11 00:00:00,12035,2017242N16333,2017-09-11 00:00:00,2017-09-18 22:00:00,190.0,2017,9,126705,58355.0,252.958333333333,190,67.5772757488715,8562378.72376077,0.8801514813989753,135,True,0.8756618743252738,0.1,149.8971880492089,0,2017-09-17 05:53:49.876977152,7.91666666666667
12015_2017-09-11 00:00:00,12015,2017242N16333,2017-09-11 00:00:00,2017-09-18 20:00:00,188.0,2017,9,202661,114552.0,252.958333333333,188,47.885063010151,9704434.75470022,0.6418307842726447,121,True,0.6174226552133529,0.1,143.67597765363112,0,2017-09-16 23:40:33.519553072,7.83333333333333
