event_id,storm,CountyFIPS,county,event_start,duration_hours,county_pop,pre_outage_tracked_customers,days_since_data_start,n_periods,integral,pop_hours_supply_lost,duration_days,year,month,max_gust,mean_gust_7d,total_precip_7d,pressure_min_7d,weather_hours_available,weather_hours_used,min_dist_to_storm_km,matched_ibtracs_storm,county_gdp_real_2017_dollars,county_gdp_real_2017_per_capita
12077_2018-10-10 13:00:00,2018280N18273,12077,Liberty,2018-10-10 13:00:00,388,7603,3310.0,647.5,388,206.088592348317,1566891.56762425,16.1666666666667,2018,10,29.221366813087915,7.125129236257156,72.76766639872426,988.212079186183,412,168,49.99001143330793,2018280N18273,180721000.0,23769.69617256346
13095_2018-10-10 14:00:00,2018280N18273,13095,Dougherty,2018-10-10 14:00:00,268,82966,4842.0,647.541666666667,268,107.414232391497,8911729.20459292,11.1666666666667,2018,10,29.787201089942904,7.192398429349753,82.64104175160138,985.4629020802786,292,168,27.205079492858925,2018280N18273,4480209000.0,54000.54239085891
12045_2018-10-10 15:00:00,2018280N18273,12045,Gulf,2018-10-10 15:00:00,514,15314,13645.0,647.583333333333,514,208.094036632377,3186752.07698822,21.4166666666667,2018,10,30.97727404729901,8.19732583506004,93.41737167056245,986.8047144846796,538,168,26.999480022865164,2018280N18273,389414000.0,25428.627399764922
12059_2018-10-10 16:00:00,2018280N18273,12059,Holmes,2018-10-10 16:00:00,221,19651,5106.0,647.625,221,105.123950960912,2065790.76033288,9.20833333333333,2018,10,22.92962301195282,6.307741255437152,57.784989087352734,990.665231636598,245,168,84.03893157206971,2018280N18273,345478000.0,17580.682916899903
12037_2018-10-10 16:00:00,2018280N18273,12037,Franklin,2018-10-10 16:00:00,151,12498,10332.0,647.625,151,109.19524696696,1364722.19659307,6.29166666666667,2018,10,32.092459918261774,8.287282677395476,98.85104808134136,992.7133151901902,175,168,72.65390035894386,2018280N18273,346410000.0,27717.23475756121
12039_2018-10-10 16:00:00,2018280N18273,12039,Gadsden,2018-10-10 16:00:00,345,43403,15094.0,647.625,345,192.617146222732,8360161.99750523,14.375,2018,10,27.61054343019084,6.891530957811837,68.95904313239218,987.9014940109108,369,168,56.44357801092983,2018280N18273,1220199000.0,28113.241020205976
12131_2018-10-10 17:00:00,2018280N18273,12131,Walton,2018-10-10 17:00:00,56,83304,25365.0,647.666666666667,56,21.5488762338243,1795107.5857825,2.33333333333333,2018,10,22.91248107051621,9.594885515624394,67.7371313141366,992.2612630935754,80,80,85.0250255637752,2018280N18273,3197506000.0,38383.58302122347
12005_2018-10-10 17:00:00,2018280N18273,12005,Bay,2018-10-10 17:00:00,504,185134,115953.0,647.666666666667,504,189.113881077374,35011409.2593786,21.0,2018,10,27.984699722350115,7.456459336661648,67.58988947345412,985.9625283741386,528,168,19.46608967003234,2018280N18273,8572539000.0,46304.50916633358
13087_2018-10-10 17:00:00,2018280N18273,13087,Decatur,2018-10-10 17:00:00,249,28982,13350.0,647.666666666667,249,126.343380030166,3661683.84003428,10.375,2018,10,28.79388489610567,6.8770955986238205,72.23954866896933,984.6164664124016,273,168,36.33183028396425,2018280N18273,805644000.0,27798.08156786971
12013_2018-10-10 18:00:00,2018280N18273,12013,Calhoun,2018-10-10 18:00:00,511,13464,8461.0,647.708333333333,511,380.447239474646,5122341.63228664,21.2916666666667,2018,10,28.26059994849216,6.611275201391015,62.12432835705237,985.6756187886484,535,168,30.027187895476963,2018280N18273,268383000.0,19933.37789661319
