event_start,CountyFIPS,county_pop,pre_outage_tracked_customers,days_since_data_start,duration_hours,n_periods,integral,pop_hours_supply_lost,storm,duration_days,year,month
2017-09-11 00:00:00,12085,162006,94195.0,252.958333333333,116,116,48.1410629919414,7799141.05107246,2017242N16333,4.83333333333333,2017,9
2017-09-11 00:00:00,12103,961739,541750.0,252.958333333333,168,168,68.8142949131587,66181391.1754863,2017242N16333,7.0,2017,9
2017-09-11 00:00:00,12117,478772,211093.0,252.958333333333,191,191,69.9670086461089,33498244.6635148,2017242N16333,7.95833333333333,2017,9
2017-09-11 01:00:00,12023,71908,31282.0,253.0,168,168,55.834276090648,4014931.12512632,2017242N16333,7.0,2017,9
2017-09-11 01:00:00,12083,396415,138863.0,253.0,197,197,70.672581490682,28015671.3916287,2017242N16333,8.20833333333333,2017,9
2017-09-11 01:00:00,12095,1452726,382514.0,253.0,173,173,52.8478404184892,76773431.8197902,2017242N16333,7.20833333333333,2017,9
2017-09-11 01:00:00,12097,422545,50236.0,253.0,160,160,31.2744575033316,13214865.6457453,2017242N16333,6.66666666666667,2017,9
2017-09-11 01:00:00,12101,608794,250797.0,253.0,136,136,41.7020677359474,25387968.6252383,2017242N16333,5.66666666666667,2017,9
2017-09-11 01:00:00,12121,45411,6348.0,253.0,161,161,73.9047928518712,3356090.54819632,2017242N16333,6.70833333333333,2017,9
2017-09-11 01:00:00,12127,579192,261351.0,253.0,187,187,65.9369437972425,38190150.3518125,2017242N16333,7.79166666666667,2017,9
2017-09-11 02:00:00,12123,21283,1604.0,253.041666666667,135,135,45.961315901204,978194.686325324,2017242N16333,5.625,2017,9
2017-09-11 03:00:00,12001,284030,120032.0,253.083333333333,134,134,29.2629568023201,8311557.62056297,2017242N16333,5.58333333333333,2017,9
2017-09-11 03:00:00,12017,162529,87665.0,253.083333333333,168,168,59.5509419809906,9678755.04922842,2017242N16333,7.0,2017,9
2017-09-11 03:00:00,12047,13217,3302.0,253.083333333333,145,145,60.7836148143837,803377.03700171,2017242N16333,6.04166666666667,2017,9
2017-09-11 03:00:00,12069,410139,149938.0,253.083333333333,207,207,60.752518202616,24916977.0631027,2017242N16333,8.625,2017,9
2017-09-11 03:00:00,12109,306841,106680.0,253.083333333333,163,163,48.7164072609951,14948191.120371,2017242N16333,6.79166666666667,2017,9
2017-09-11 04:00:00,12019,226589,83949.0,253.125,133,133,38.1403132085061,8642175.42960219,2017242N16333,5.54166666666667,2017,9
2017-09-11 04:00:00,12053,206896,94931.0,253.125,161,161,35.6024426210731,7366002.96852954,2017242N16333,6.70833333333333,2017,9
2017-09-11 04:00:00,12119,144970,71787.0,253.125,154,154,25.9524392164142,3762325.11320357,2017242N16333,6.41666666666667,2017,9
