event_id,CountyFIPS,storm,n,mae,rmse,forecast_horizon_hours
12029_2017-09-10 22:00:00,12029,2017242N16333,155.0,0.16719370509747047,0.21016048492467684,24
12011_2017-09-10 06:00:00,12011,2017242N16333,166.0,0.16781294225530638,0.2453574090852099,24
12123_2017-09-11 02:00:00,12123,2017242N16333,123.0,0.16861740878439171,0.20912605227126488,24
12099_2017-09-10 14:00:00,12099,2017242N16333,135.0,0.1687204008003002,0.22618325325387903,24
12041_2017-09-10 19:00:00,12041,2017242N16333,161.0,0.17255579148677672,0.2236006563530738,24
12027_2022-09-28 14:00:00,12027,2022263N10313,212.0,0.17380679226867363,0.22790542411518694,24
12051_2022-09-27 17:00:00,12051,2022263N10313,184.0,0.17561596271892918,0.25011539842895414,24
12049_2017-09-10 21:00:00,12049,2017242N16333,163.0,0.17604387262223248,0.22269243844880265,24
12055_2017-09-10 22:00:00,12055,2017242N16333,207.0,0.17713689726220583,0.27279937249580466,24
12129_2018-10-10 13:00:00,12129,2018280N18273,144.0,0.177225656602591,0.24220482807284152,24
12085_2017-09-11 00:00:00,12085,2017242N16333,104.0,0.18053787619417738,0.19874747284325625,24
12023_2017-09-11 01:00:00,12023,2017242N16333,156.0,0.18092430830405654,0.26345488007694495,24
12073_2018-10-10 18:00:00,12073,2018280N18273,134.0,0.18648903880679196,0.23288867472860655,24
12111_2017-09-10 14:00:00,12111,2017242N16333,119.0,0.18915197448692336,0.2545845748636137,24
12047_2017-09-11 03:00:00,12047,2017242N16333,133.0,0.19402411593530383,0.2510852902884857,24
12093_2017-09-10 16:00:00,12093,2017242N16333,163.0,0.20073533690069673,0.28865548399458535,24
12103_2017-09-11 00:00:00,12103,2017242N16333,156.0,0.20188840113927703,0.2600682651228398,24
12013_2017-09-09 21:00:00,12013,2017242N16333,42.0,0.20511083053237888,0.3147178603099541,24
12055_2022-09-28 23:00:00,12055,2022263N10313,106.0,0.2099498731538494,0.2418328392168772,24
12127_2022-09-29 00:00:00,12127,2022263N10313,107.0,0.2101925524070835,0.25500436871466126,24
12093_2022-09-29 04:00:00,12093,2022263N10313,56.0,0.21614709838944732,0.2583605193467403,24
12075_2017-09-09 22:00:00,12075,2017242N16333,178.0,0.22264375318582488,0.3191594124021103,24
12073_2017-09-11 07:00:00,12073,2017242N16333,48.0,0.23074854678886622,0.24739615600534223,24
12077_2021-08-17 01:00:00,12077,2021222N14301,13.0,0.254955555045134,0.2944110488016187,24
12039_2017-09-11 08:00:00,12039,2017242N16333,48.0,0.25818505362574495,0.269958748693519,24
12131_2018-10-10 17:00:00,12131,2018280N18273,44.0,0.2793368392958139,0.30928610197504913,24
12067_2017-09-09 20:00:00,12067,2017242N16333,179.0,0.2941942396807621,0.4083732983267458,24
12125_2017-09-10 11:00:00,12125,2017242N16333,121.0,0.3210117530876464,0.4057216573354866,24
12065_2018-10-10 19:00:00,12065,2018280N18273,41.0,0.32482895173019316,0.3388223721471994,24
12079_2017-09-10 02:00:00,12079,2017242N16333,112.0,0.3298266860983158,0.39584998535583255,24
12077_2017-09-11 10:00:00,12077,2017242N16333,18.0,0.39006662628709876,0.41133083961957945,24
12013_2021-08-16 21:00:00,12013,2021222N14301,32.0,0.4038101604278075,0.45208420150874135,24
12051_2021-07-04 07:00:00,12051,2021182N09317,3.0,0.0108807721838324,0.018065762362823347,48
12013_2020-09-12 22:00:00,12013,2020256N25281,76.0,0.020937736413229317,0.04594622249861401,48
12029_2021-07-06 00:00:00,12029,2021182N09317,10.0,0.029022339413863608,0.08803643654289495,48
12109_2022-09-29 08:00:00,12109,2022263N10313,2.0,0.03261485958623133,0.033061860235235,48
12097_2022-09-29 04:00:00,12097,2022263N10313,3.0,0.050547526161277556,0.051710758051508626,48
12075_2017-07-30 21:00:00,12075,2017212N28275,50.0,0.062122441685733464,0.22851753320368862,48
12091_2020-09-16 10:00:00,12091,2020256N25281,3.0,0.06648774117364369,0.06753531296499636,48
12043_2017-09-11 22:00:00,12043,2017242N16333,202.0,0.0830007752177188,0.11861501242124362,48
12005_2018-10-10 17:00:00,12005,2018280N18273,468.0,0.09018862773170395,0.11452352162969032,48
12119_2017-09-11 04:00:00,12119,2017242N16333,118.0,0.09624643047452655,0.10933387048251234,48
12069_2022-09-29 06:00:00,12069,2022263N10313,6.0,0.10266686156483439,0.10373272334641427,48
12111_2022-09-29 05:00:00,12111,2022263N10313,3.0,0.10411285667991661,0.11335375606083659,48
12105_2017-09-10 23:00:00,12105,2017242N16333,156.0,0.10781670865139294,0.13079524425142794,48
12097_2017-09-11 01:00:00,12097,2017242N16333,124.0,0.12766645847253394,0.16658903613701748,48
12037_2017-09-09 19:00:00,12037,2017242N16333,86.0,0.12876986524348955,0.1515477534178788,48
12013_2017-09-09 21:00:00,12013,2017242N16333,18.0,0.13267132498624232,0.2721032689560493,48
12133_2018-10-10 18:00:00,12133,2018280N18273,377.0,0.13490189138677883,0.21066591684075076,48
12059_2017-09-09 20:00:00,12059,2017242N16333,7.0,0.13694717792104963,0.2517060884936964,48
12015_2017-09-11 00:00:00,12015,2017242N16333,152.0,0.13743411518625498,0.15548825393116017,48
12045_2018-10-10 15:00:00,12045,2018280N18273,478.0,0.15029656565805122,0.19651950387799225,48
12001_2017-09-11 03:00:00,12001,2017242N16333,98.0,0.15270294202383938,0.17863479209028071,48
12009_2022-09-29 07:00:00,12009,2022263N10313,26.0,0.15287183553143702,0.16427544313564899,48
12053_2017-09-11 04:00:00,12053,2017242N16333,125.0,0.15516091869177298,0.20513911603781873,48
12063_2018-10-09 00:00:00,12063,2018280N18273,517.0,0.15834135227968132,0.28495680862301126,48
12039_2018-10-10 16:00:00,12039,2018280N18273,309.0,0.1601982422920257,0.18169180002738347,48
12013_2018-10-10 18:00:00,12013,2018280N18273,475.0,0.16120725859777946,0.2845839795724372,48
12095_2022-09-29 04:00:00,12095,2022263N10313,34.0,0.16150428594066538,0.18111632949752668,48
12077_2018-10-10 13:00:00,12077,2018280N18273,352.0,0.1708572776963069,0.2097956369122334,48
12069_2017-09-11 03:00:00,12069,2017242N16333,171.0,0.17355070130144842,0.2109736287281445,48
12113_2020-09-16 09:00:00,12113,2020256N25281,50.0,0.1786206947809459,0.18426282147307496,48
12095_2017-09-11 01:00:00,12095,2017242N16333,137.0,0.18200271268397109,0.20890861598649488,48
12115_2022-09-28 15:00:00,12115,2022263N10313,168.0,0.18396116176447716,0.20362377922703664,48
12071_2022-09-28 14:00:00,12071,2022263N10313,227.0,0.18472716945752482,0.2031245036809237,48
12031_2017-09-11 05:00:00,12031,2017242N16333,78.0,0.18886039305387262,0.21015966793502805,48
12101_2017-09-11 01:00:00,12101,2017242N16333,100.0,0.189647779676816,0.21769890736603678,48
12117_2017-09-11 00:00:00,12117,2017242N16333,155.0,0.1918684609225347,0.2171414305606399,48
12059_2018-10-10 16:00:00,12059,2018280N18273,185.0,0.19454010674925304,0.24426523666452465,48
12071_2017-09-11 00:00:00,12071,2017242N16333,204.0,0.19460842184858956,0.22441963863520947,48
12127_2017-09-11 01:00:00,12127,2017242N16333,151.0,0.1952546380424683,0.21396782467073894,48
12033_2020-09-16 04:00:00,12033,2020256N25281,81.0,0.19709799806002007,0.20272793333172004,48
12083_2017-09-11 01:00:00,12083,2017242N16333,161.0,0.2029554737735108,0.23330348953519503,48
12061_2022-09-29 05:00:00,12061,2022263N10313,12.0,0.2032758006704779,0.20900201224886625,48
12015_2022-09-28 16:00:00,12015,2022263N10313,192.0,0.20450686640864854,0.2368313799399443,48
12051_2017-09-10 16:00:00,12051,2017242N16333,264.0,0.20498117552600914,0.2595303637793648,48
12081_2022-09-28 15:00:00,12081,2022263N10313,116.0,0.2053584263436006,0.22155026238829953,48
12109_2017-09-11 03:00:00,12109,2017242N16333,127.0,0.20796094715703606,0.23843527165190748,48
12129_2017-09-10 18:00:00,12129,2017242N16333,71.0,0.21559065828038004,0.22863936267386206,48
12021_2017-09-10 14:00:00,12021,2017242N16333,227.0,0.22145551917944253,0.27377761776322723,48
12035_2017-09-11 00:00:00,12035,2017242N16333,154.0,0.22870098813446268,0.25236617290754065,48
12086_2017-09-10 06:00:00,12086,2017242N16333,174.0,0.22880457353507566,0.27728373979982773,48
12019_2017-09-11 04:00:00,12019,2017242N16333,97.0,0.23363526185882522,0.2638205558757079,48
12017_2017-09-11 03:00:00,12017,2017242N16333,132.0,0.235439959273241,0.26321739712910946,48
12003_2017-09-11 07:00:00,12003,2017242N16333,126.0,0.23711357629443156,0.2560101585090974,48
12123_2017-09-11 02:00:00,12123,2017242N16333,99.0,0.23989862502988202,0.2975656286090061,48
12051_2022-09-27 17:00:00,12051,2022263N10313,160.0,0.24814379492613298,0.3019901294265767,48
12011_2017-09-10 06:00:00,12011,2017242N16333,142.0,0.24941345744664428,0.284503802226906,48
12021_2022-09-28 13:00:00,12021,2022263N10313,129.0,0.24986476314913827,0.2693992454893426,48
12049_2017-09-10 21:00:00,12049,2017242N16333,139.0,0.2510207209671565,0.2778511896794265,48
12105_2022-09-28 23:00:00,12105,2022263N10313,60.0,0.2530046091409519,0.26394600368381255,48
12107_2017-09-10 18:00:00,12107,2017242N16333,171.0,0.2597636378509138,0.29748623513779143,48
12027_2022-09-28 14:00:00,12027,2022263N10313,188.0,0.26493515973907084,0.3058215348151742,48
12007_2017-09-11 05:00:00,12007,2017242N16333,129.0,0.26710436973690527,0.3043700370954999,48
12055_2017-09-10 22:00:00,12055,2017242N16333,183.0,0.2703351151665848,0.3440944830093573,48
12103_2017-09-11 00:00:00,12103,2017242N16333,132.0,0.2708741760881574,0.32414759811437777,48
12029_2017-09-10 22:00:00,12029,2017242N16333,131.0,0.2727525266904179,0.29399813650955986,48
12099_2017-09-10 14:00:00,12099,2017242N16333,111.0,0.278755083113789,0.29956836024691263,48
12041_2017-09-10 19:00:00,12041,2017242N16333,137.0,0.2814521110013618,0.3155120843258179,48
12111_2017-09-10 14:00:00,12111,2017242N16333,95.0,0.28247740783471986,0.314893544563408,48
12023_2017-09-11 01:00:00,12023,2017242N16333,132.0,0.2867661741209387,0.35456660517371175,48
12047_2017-09-11 03:00:00,12047,2017242N16333,109.0,0.2962082374740625,0.3264722555434192,48
12121_2017-09-11 01:00:00,12121,2017242N16333,125.0,0.30068431438998516,0.32426643991325177,48
12093_2017-09-10 16:00:00,12093,2017242N16333,139.0,0.31884177342170456,0.35779784366128825,48
12127_2022-09-29 00:00:00,12127,2022263N10313,83.0,0.3222656562601808,0.34063920944971415,48
12043_2022-09-28 22:00:00,12043,2022263N10313,87.0,0.3241901545398883,0.3752131326944902,48
12037_2018-10-10 16:00:00,12037,2018280N18273,115.0,0.34092790887371105,0.4198158643046494,48
12075_2017-09-09 22:00:00,12075,2017242N16333,154.0,0.3493693535607674,0.4085386401732699,48
12129_2018-10-10 13:00:00,12129,2018280N18273,120.0,0.3528231875631428,0.39878147852562057,48
12073_2018-10-10 18:00:00,12073,2018280N18273,110.0,0.35917688457519037,0.4048852286384687,48
12085_2017-09-11 00:00:00,12085,2017242N16333,80.0,0.3708064435592918,0.39171748972497145,48
12067_2017-09-09 20:00:00,12067,2017242N16333,155.0,0.385806147895227,0.46880992569556285,48
12093_2022-09-29 04:00:00,12093,2022263N10313,32.0,0.39837959935478245,0.4199955843520334,48
12073_2017-09-11 07:00:00,12073,2017242N16333,24.0,0.39953624903223134,0.43435539152700625,48
12039_2017-09-11 08:00:00,12039,2017242N16333,24.0,0.40729061306298847,0.44684439162758316,48
