event_id,storm,CountyFIPS,county,event_start,duration_hours,county_pop,pre_outage_tracked_customers,days_since_data_start,n_periods,integral,pop_hours_supply_lost,duration_days,year,month,max_gust,mean_gust_7d,total_precip_7d,pressure_min_7d,weather_hours_available,weather_hours_used
13155_2018-10-11 01:00:00,2018280N18273,13155,Irwin,2018-10-11 01:00:00,68,9126,6013.0,648.0,68,22.3363841003872,203841.841300134,2.83333333333333,2018,10,26.300891215208345,9.571271359221205,50.9382185178794,992.0461840691136,92,92
13277_2018-10-11 01:00:00,2018280N18273,13277,Tift,2018-10-11 01:00:00,69,41412,12826.0,648.0,69,22.6022408232445,936003.9969722,2.875,2018,10,28.52156296066459,9.591334824531076,47.56230096591233,991.205473502852,93,93
13197_2018-10-11 01:00:00,2018280N18273,13197,Marion,2018-10-11 01:00:00,42,7449,3006.0,648.0,42,13.0319806605484,97075.2239404253,1.75,2018,10,23.535244850402183,10.512430961442563,98.18010969939543,989.6229593999336,66,66
13161_2018-10-11 02:00:00,2018280N18273,13161,Jeff Davis,2018-10-11 02:00:00,40,14889,7743.0,648.041666666667,40,13.0835593439235,194801.115071678,1.66666666666667,2018,10,27.13120736929086,11.753354909282464,42.760755501400965,994.6045112980768,64,64
13269_2018-10-11 02:00:00,2018280N18273,13269,Taylor,2018-10-11 02:00:00,44,7737,4219.0,648.041666666667,44,5.67138577306864,43879.511726232,1.83333333333333,2018,10,22.81956077418781,10.418424321504432,86.7347361000403,990.0602771529562,68,68
13093_2018-10-11 02:00:00,2018280N18273,13093,Dooly,2018-10-11 02:00:00,92,10572,6397.0,648.041666666667,92,41.0656557761451,434146.112865406,3.83333333333333,2018,10,26.49721654092745,8.055781083478541,73.89016441191646,986.0175112467866,116,116
13167_2018-10-11 04:00:00,2018280N18273,13167,Johnson,2018-10-11 04:00:00,66,9242,4055.0,648.125,66,35.0714721359959,324130.545480874,2.75,2018,10,24.86555307906196,9.075369138135205,53.37861021178843,988.7109305153148,90,90
13267_2018-10-11 04:00:00,2018280N18273,13267,Tattnall,2018-10-11 04:00:00,24,24064,8625.0,648.125,24,7.23118071803862,174011.132798881,1.0,2018,10,26.12171081941291,13.469295226506281,24.655362945536233,995.8209873870484,48,48
13235_2018-10-11 04:00:00,2018280N18273,13235,Pulaski,2018-10-11 04:00:00,112,9984,4489.0,648.125,112,51.4617955001114,513794.566273112,4.66666666666667,2018,10,23.54116304016113,7.387362793529734,67.62478317692876,986.5836871875,136,136
13023_2018-10-11 04:00:00,2018280N18273,13023,Bleckley,2018-10-11 04:00:00,64,12257,2902.0,648.125,64,31.9827705031013,392012.818056513,2.66666666666667,2018,10,22.049967453618752,9.015860647898618,65.27877107028736,987.1952130044842,88,88
13225_2018-10-11 04:00:00,2018280N18273,13225,Peach,2018-10-11 04:00:00,38,28562,6976.0,648.125,38,8.05705275229358,230125.540711009,1.58333333333333,2018,10,23.110011980610512,11.161895076342851,69.99897323248368,987.3977716733872,62,62
13289_2018-10-11 05:00:00,2018280N18273,13289,Twiggs,2018-10-11 05:00:00,42,7680,1531.0,648.166666666667,42,10.0235140431091,76980.5878510777,1.75,2018,10,21.941322723806724,10.680848504340021,60.32108874506738,987.160968535959,66,66
13175_2018-10-11 05:00:00,2018280N18273,13175,Laurens,2018-10-11 05:00:00,64,49660,12185.0,648.166666666667,64,29.0008027573167,1440179.86492835,2.66666666666667,2018,10,24.60781797691373,9.146829141828192,62.62879922176867,988.7556267862516,88,88
13271_2018-10-11 05:00:00,2018280N18273,13271,Telfair,2018-10-11 05:00:00,66,12354,3483.0,648.166666666667,66,34.8136663795579,430088.034453058,2.75,2018,10,26.609213550533863,9.139221083098102,59.783147766452636,991.6258932522122,90,90
13319_2018-10-11 05:00:00,2018280N18273,13319,Wilkinson,2018-10-11 05:00:00,37,8681,2405.0,648.166666666667,37,7.0004158004158,60770.6095634096,1.54166666666667,2018,10,21.34766841888428,11.20138769973171,52.749773785471916,987.6152833333332,61,61
13091_2018-10-11 05:00:00,2018280N18273,13091,Dodge,2018-10-11 05:00:00,65,19802,3709.0,648.166666666667,65,35.6983014289566,706897.764896199,2.70833333333333,2018,10,24.1370213901738,9.059109279181211,67.45367698349366,988.6749261895956,89,89
13169_2018-10-11 05:00:00,2018280N18273,13169,Jones,2018-10-11 05:00:00,38,28472,12937.0,648.166666666667,38,6.58769421040427,187564.82955863,1.58333333333333,2018,10,19.888473104028144,11.138801808563839,60.249386050546654,989.6371472886032,62,62
13043_2018-10-11 06:00:00,2018280N18273,13043,Candler,2018-10-11 06:00:00,34,11000,5484.0,648.208333333333,34,9.233169257776,101564.861835536,1.41666666666667,2018,10,28.609066161501456,11.866248668755027,34.73575906160165,993.2505854706176,58,58
13107_2018-10-11 06:00:00,2018280N18273,13107,Emanuel,2018-10-11 06:00:00,45,22929,7891.0,648.208333333333,45,16.1160076354961,369523.939074291,1.875,2018,10,27.444282350215047,10.763086416622397,47.11029346138028,990.9750959916548,69,69
13303_2018-10-11 06:00:00,2018280N18273,13303,Washington,2018-10-11 06:00:00,57,19738,6586.0,648.208333333333,57,22.9078348010932,452154.843303978,2.375,2018,10,24.34471312436191,9.369991464463014,46.808340025150265,988.0851003196022,81,81
13309_2018-10-11 06:00:00,2018280N18273,13309,Wheeler,2018-10-11 06:00:00,60,7314,823.0,648.208333333333,60,30.6123936816525,223899.047387606,2.5,2018,10,27.28174673266684,9.44506638016058,58.67745162705932,991.4761026936028,84,84
13209_2018-10-11 06:00:00,2018280N18273,13209,Montgomery,2018-10-11 06:00:00,41,8655,1649.0,648.208333333333,41,26.5166767738023,229501.837477259,1.70833333333333,2018,10,27.692793202594046,11.079249957205729,48.58330712933851,992.7165507494918,65,65
13283_2018-10-11 07:00:00,2018280N18273,13283,Treutlen,2018-10-11 07:00:00,36,6365,1373.0,648.25,36,5.18572469045885,33007.1376547706,1.5,2018,10,26.269438030650317,11.502384868486027,54.15667462822738,990.5140632584952,60,60
13301_2018-10-11 08:00:00,2018280N18273,13301,Warren,2018-10-11 08:00:00,41,5155,3118.0,648.291666666667,41,6.13758819756254,31639.2671584349,1.70833333333333,2018,10,22.087881350435342,9.599489603287136,42.603422874821625,989.1311420747426,65,65
13163_2018-10-11 08:00:00,2018280N18273,13163,Jefferson,2018-10-11 08:00:00,33,15314,7803.0,648.291666666667,33,7.23571974009622,110807.812099833,1.375,2018,10,24.58161439930821,10.914423194943781,49.14703940443448,988.8432145122232,57,57
13033_2018-10-11 09:00:00,2018280N18273,13033,Burke,2018-10-11 09:00:00,31,24388,6169.0,648.333333333333,31,6.95745671781808,169678.454434147,1.29166666666667,2018,10,27.008654186983065,10.93955287927244,46.73740252668799,990.3174164649356,55,55
45009_2018-10-11 11:00:00,2018280N18273,45009,Bamberg,2018-10-11 11:00:00,24,12908,7151.0,648.416666666667,24,3.51852887708013,45417.1707453503,1.0,2018,10,28.573109811811296,11.583193884807239,34.78317497302754,994.1216948460818,48,48
45085_2018-10-11 13:00:00,2018280N18273,45085,Sumter,2018-10-11 13:00:00,25,104012,37360.0,648.5,25,2.76107143970473,287184.562586569,1.04166666666667,2018,10,26.7322608504439,10.853474950747122,36.981861155822216,994.5116902797704,49,49
37167_2018-10-11 16:00:00,2018280N18273,37167,Stanly,2018-10-11 16:00:00,36,64153,17317.0,648.625,36,3.19732055205867,205117.70537622,1.5,2018,10,20.89742447242105,8.49220803612513,59.169949043374814,991.7236572842788,60,60
37123_2018-10-11 16:00:00,2018280N18273,37123,Montgomery,2018-10-11 16:00:00,53,25894,14541.0,648.625,53,10.1949546204058,263988.154940788,2.20833333333333,2018,10,21.897683810243517,7.952455765149183,55.53090353081427,991.257072710396,77,77
51590_2018-10-11 17:00:00,2018280N18273,51590,Danville,2018-10-11 17:00:00,154,42229,2873.0,648.666666666667,154,46.4116849980159,1959919.04578121,6.41666666666667,2018,10,20.37038062600529,6.248947814955654,105.13934987944133,992.7608700980392,178,168
37007_2018-10-11 18:00:00,2018280N18273,37007,Anson,2018-10-11 18:00:00,34,22202,10549.0,648.708333333333,34,4.32221063607925,95961.7205422315,1.41666666666667,2018,10,22.681436188156542,8.84821984959745,53.721263553309555,991.3335433558558,58,58
